"Site","Longitude","Latitude","GENUS_CODE","Interval","StartingDate","EndingDate","Lambda"
"OCC-MAU-019",145.227279,20.0142577,"POSP","14_17","2014-05-06","2017-06-13",1.03170407170392
"OCC-MAU-019",145.227279,20.0142577,"POSP","17_22","2017-06-13","2022-06-26",1.11708389122247
"MAI_OCC_002",-156.146,20.869,"POCS","16-19","2016-12-19","2019-04-27",1.06369762162815
"OCC-ASC-003",145.41075,19.67703,"POSP","17_22","2017-06-07","2022-07-24",0.993260310538568
"OAH_OCC_005",-157.783,21.48,"POSP","16-18","2016-08-01","2018-10-04",0.990905044422224
"OCC-SAI-012",145.689743,15.156373,"POSP","17_22","2017-04-22","2022-04-22",0.935787636542182
"OCC-HOW-005",-176.62025,0.7988,"MOSP","17_18","2017-04-11","2018-06-08",1.04739250576676
"OCC-HOW-005",-176.62025,0.7988,"MOSP","18_23","2018-06-08","2023-03-16",0.96734223671181
"OCC-HOW-005",-176.62025,0.7988,"POSP","17_18","2017-04-11","2018-06-08",0.97441666864602
"OCC-HOW-005",-176.62025,0.7988,"POSP","18_23","2018-06-08","2023-03-16",0.940553103888616
"PHR_OCC_016",-175.9971,27.793,"POSP","16-19","2016-09-11","2019-09-04",0.919738682052906
"OCC-PAG-013",145.75471,18.12007,"POSP","17_22","2017-06-16","2022-08-06",0.915052236001501
"OAH_OCC_010",-157.9,21.288,"POCS","17-19","2017-03-07","2019-05-07",0.888522162648133
"OAH_OCC_010",-157.9,21.288,"POSP","17-19","2017-03-07","2019-05-07",0.987579326549082
"HAW_OCC_003",-155.1,19.747,"MOSP","16-19","2016-08-08","2019-07-13",0.837634450945571
"HAW_OCC_003",-155.1,19.747,"POSP","16-19","2016-08-08","2019-07-13",1.01201623467513
"OCC-GUA-026",144.69742,13.47637,"POSP","17_22","2017-05-03","2022-08-01",0.794226217395718
"HAW_OCC_010",-155.9,19.244,"POSP","16-19","2016-07-06","2019-07-19",0.782503378575695
"OCC-GUA-025",144.68121,13.46748,"POSP","17_22","2017-05-03","2022-07-08",0.776916756852533
"OCC-MAU-002",145.22467,20.03577,"POSP","14_17","2014-05-18","2017-06-05",0.720820682691761
"OCC-MAU-002",145.22467,20.03577,"POSP","17_22","2017-06-05","2022-06-24",1.0609246555715
"OCC-PAG-006",145.76482,18.09614,"POSP","17_22","2017-05-31","2022-08-06",0.75249687684982
"OCC-TUT-025",-170.728314,-14.283142,"ACSP","18_23","2018-07-02","2023-08-05",0.934341960512825
"OCC-TUT-025",-170.728314,-14.283142,"POCS","18_23","2018-07-02","2023-08-05",0.910710931258473
"OCC-TUT-025",-170.728314,-14.283142,"POSP","18_23","2018-07-02","2023-08-05",0.808235289634472
"KUR_OCC_010",-178.3,28.385,"POSP","16-19","2016-09-12","2019-09-02",0.684551895646011
"HAW_OCC_002",-155.9,20.268,"POSP","16-19","2016-08-15","2019-07-15",0.678791494283576
"OCC-GUA-015",144.80042,13.52893,"POSP","17_22","2017-05-04","2022-06-15",0.597463595700953
"MAI_SIO_K01",-156.694,20.937,"MOSP","14-15","2014-07-21","2015-07-10",0.959086631532001
"MAI_SIO_K01",-156.694,20.937,"MOSP","15-16","2015-11-02","2016-06-16",1.04650682983592
"MAI_SIO_K01",-156.694,20.937,"MOSP","17-18","2017-07-28","2018-09-14",0.687163440119926
"MAI_SIO_K01",-156.694,20.937,"POSP","14-15","2014-07-21","2015-07-10",1.04683531159655
"MAI_SIO_K01",-156.694,20.937,"POSP","15-15","2015-07-10","2015-11-02",0.928976507937513
"MAI_SIO_K01",-156.694,20.937,"POSP","15-16","2015-11-02","2016-06-16",0.991143112502155
"MAI_SIO_K01",-156.694,20.937,"POSP","16-16","2016-06-16","2016-11-30",0.968540548470779
"MAI_SIO_K01",-156.694,20.937,"POSP","16-17","2016-11-30","2017-07-28",0.974390974025838
"MAI_SIO_K01",-156.694,20.937,"POSP","17-18","2017-07-28","2018-09-14",0.910427790689211
"FFS_OCC_014",-166.253732,23.792456,"POSP","13-16","2013-09-06","2016-09-02",0.973835391649596
"FFS_OCC_014",-166.253732,23.792456,"POSP","16-19","2016-09-02","2019-08-27",0.532111628117769
"OCC-TUT-017",-170.76311,-14.36353,"ACSP","18_23","2018-07-06","2023-07-01",0.937387269981074
"OCC-TUT-017",-170.76311,-14.36353,"MOSP","18_23","2018-07-06","2023-07-01",0.552321240878201
"OCC-BAK-008",-176.479919,0.188409,"ACSP","17_18","2017-04-10","2018-06-15",0.995685131390943
"OCC-BAK-008",-176.479919,0.188409,"ACSP","18_23","2018-06-15","2023-03-18",0.744220645839088
"OCC-BAK-008",-176.479919,0.188409,"MOSP","17_18","2017-04-10","2018-06-15",0.694765109686478
"OCC-BAK-008",-176.479919,0.188409,"POCS","17_18","2017-04-10","2018-06-15",0.997866207997086
"OCC-BAK-003",-176.474519,0.205082,"ACSP","18_23","2018-06-14","2023-03-19",0.967176996921868
"OCC-BAK-003",-176.474519,0.205082,"POCS","18_23","2018-06-14","2023-03-19",0.958436690661561
"OCC-BAK-003",-176.474519,0.205082,"POSP","18_23","2018-06-14","2023-03-19",0.531817266901264
"OCC-SAI-009",145.743427,15.09785,"POSP","17_22","2017-06-18","2022-04-21",0.435267782546661
"LIS_OCC_005",-173.87918,26.03741,"MOSP","13-16","2013-09-12","2016-09-18",0.51903264789598
"LIS_OCC_005",-173.87918,26.03741,"MOSP","16-19","2016-09-18","2019-08-30",0.965041428514917
"LIS_OCC_005",-173.87918,26.03741,"POSP","13-16","2013-09-12","2016-09-18",0.84658129457903
"LIS_OCC_005",-173.87918,26.03741,"POSP","16-19","2016-09-18","2019-08-30",0.951410681394773
"HAW_SIO_K08",-155.913,19.443,"POSP","15-17","2015-04-13","2017-04-08",0.370110468477783
"HAW_SIO_K08",-155.913,19.443,"POSP","17-19","2017-04-08","2019-07-19",1.00387333886926
"HAW_SIO_K10",-156.01208,19.64222,"POSP","15-17","2015-04-15","2017-04-08",0.366738303927685
"HAW_SIO_K10",-156.01208,19.64222,"POSP","17-19","2017-04-08","2019-07-17",0.979343389857286
"OCC-TAU-002",-169.440998,-14.211742,"MOSP","18_23","2018-07-12","2023-08-01",0.824041404716371
"OCC-TAU-002",-169.440998,-14.211742,"POSP","18_23","2018-07-12","2023-08-01",0.39434819534219
"MAI_SIO_OL3",-156.6,20.805,"MOSP","14-15","2014-07-22","2015-07-14",0.916095303241765
"MAI_SIO_OL3",-156.6,20.805,"MOSP","15-15","2015-07-14","2015-11-04",0.899342826159318
"MAI_SIO_OL3",-156.6,20.805,"MOSP","15-16","2015-11-04","2016-06-16",0.911303801218286
"MAI_SIO_OL3",-156.6,20.805,"MOSP","16-16","2016-06-16","2016-11-29",0.979555174834725
"MAI_SIO_OL3",-156.6,20.805,"MOSP","16-17","2016-11-29","2017-07-26",0.963381189325464
"MAI_SIO_OL3",-156.6,20.805,"POCS","14-15","2014-07-22","2015-07-14",0.634175678543259
"MAI_SIO_OL3",-156.6,20.805,"POSP","14-15","2014-07-22","2015-07-14",1.01158926166479
"MAI_SIO_OL3",-156.6,20.805,"POSP","15-16","2015-11-04","2016-06-16",0.770834121828573
"MAI_SIO_OL3",-156.6,20.805,"POSP","16-16","2016-06-16","2016-11-29",0.990974209951298
"MAI_SIO_OL3",-156.6,20.805,"POSP","16-17","2016-11-29","2017-07-26",0.898191724614084
"OCC-OFU-009",-169.652024,-14.180607,"ACSP","18_23","2018-07-10","2023-07-22",1.01793427907149
"OCC-OFU-009",-169.652024,-14.180607,"MOSP","18_23","2018-07-10","2023-07-22",0.576625405879751
"OCC-OFU-009",-169.652024,-14.180607,"POCS","18_23","2018-07-10","2023-07-22",0.963772739623959
"OCC-OFU-009",-169.652024,-14.180607,"POSP","18_23","2018-07-10","2023-07-22",0.55115705188184
"OCC-ROS-010",-168.168774,-14.548706,"MOSP","18_23","2018-07-17","2023-07-31",0.394198275277561
"OCC-ROS-010",-168.168774,-14.548706,"POCS","18_23","2018-07-17","2023-07-31",0.80502947882952
"OCC-ROS-010",-168.168774,-14.548706,"POSP","18_23","2018-07-17","2023-07-31",0.946534342247777
"MAI_SIO_K02",-156.69383,20.93884,"MOSP","14-15","2014-07-21","2015-07-11",0.865600419837863
"MAI_SIO_K02",-156.69383,20.93884,"MOSP","15-16","2015-07-11","2016-07-04",0.969175235598621
"MAI_SIO_K02",-156.69383,20.93884,"MOSP","16-17","2016-07-04","2017-08-02",0.823714690217206
"MAI_SIO_K02",-156.69383,20.93884,"MOSP","17-18","2017-08-02","2018-09-14",0.707771248604799
"MAI_SIO_K02",-156.69383,20.93884,"POSP","14-15","2014-07-21","2015-07-11",0.958389858056818
"MAI_SIO_K02",-156.69383,20.93884,"POSP","15-16","2015-07-11","2016-07-04",0.750481770218428
"MAI_SIO_K02",-156.69383,20.93884,"POSP","16-17","2016-07-04","2017-08-02",0.973787472013277
"MAI_SIO_K02",-156.69383,20.93884,"POSP","17-18","2017-08-02","2018-09-14",0.855120370286982
"OCC-OFU-002",-169.674219,-14.157622,"ACSP","18_23","2018-07-09","2023-07-29",0.432025253096505
"OCC-OFU-002",-169.674219,-14.157622,"MOSP","18_23","2018-07-09","2023-07-29",0.954312934857828
"OCC-OFU-002",-169.674219,-14.157622,"POCS","18_23","2018-07-09","2023-07-29",0.54635252479224
"OCC-OFU-002",-169.674219,-14.157622,"POSP","18_23","2018-07-09","2023-07-29",0.898670705904588
"OCC-TUT-002",-170.66008,-14.24475,"ACSP","18_23","2018-06-29","2023-07-08",0.699926962838031
"OCC-TUT-002",-170.66008,-14.24475,"MOSP","18_23","2018-06-29","2023-07-08",0.514494279429378
"OCC-TUT-002",-170.66008,-14.24475,"POCS","18_23","2018-06-29","2023-07-08",0.813686940531368
"OCC-TUT-002",-170.66008,-14.24475,"POSP","18_23","2018-06-29","2023-07-08",0.387918239775104
"FFS_OCC_002",-166.29106,23.878152,"POSP","13-16","2013-09-06","2016-09-25",0.050793717614592
