SiteName,Region,Island_Code,Latitude,Longitude,#Timepoints,TP0,TP1,TP2,TP3,TP4,TP5,TP6
OAH_OCC_010,MHI,OAH,21.288,-157.9,2,3/7/17,5/7/19,,,,,
MAI_SIO_OL3,MHI,MAI,20.805,-156.6,6,7/22/14,7/14/15,11/4/15,6/16/16,11/29/16,7/26/17,
MAI_SIO_K01,MHI,MAI,20.937,-156.694,7,7/21/14,7/10/15,11/2/15,6/16/16,11/30/16,7/28/17,9/14/18
MAI_SIO_K02,MHI,MAI,20.93884,-156.69383,5,7/21/14,7/11/15,7/4/16,8/2/17,9/14/18,,
HAW_OCC_010,MHI,HAW,19.244,-155.9,2,8/11/16,7/19/19,,,,,
HAW_SIO_K08,MHI,HAW,19.443,-155.913,3,4/13/15,4/8/17,7/19/19,,,,
HAW_SIO_K10,MHI,HAW,19.64222,-156.01208,3,4/15/15,4/8/17,7/17/19,,,,
HAW_OCC_002,MHI,HAW,20.268,-155.9,2,8/15/16,7/15/19,,,,,
FFS_OCC_002,NWHI,FFS,23.878152,-166.29106,3,9/6/13,9/25/16,8/28/19,,,,
FFS_OCC_014,NWHI,FFS,23.792456,-166.253732,3,9/6/13,9/2/16,8/27/19,,,,
LIS_OCC_005,NWHI,LIS,26.03741,-173.87918,3,9/12/13,9/18/16,8/30/19,,,,
KUR_OCC_010,NWHI,KUR,28.385,-178.3,2,9/12/16,9/2/19,,,,,
PHR_OCC_016,NWHI,PHR,27.793,-175.9971,3,9/11/13,9/11/16,9/4/19,,,,
HAW_OCC_003,MHI,HAW,19.747,-155.1,2,8/8/16,7/13/19,,,,,
OAH_OCC_005,MHI,OAH,21.48,-157.783,3,8/1/16,10/4/18,,,,,
MAI_OCC_002,MHI,MAI,20.869,-156.146,2,7/14/16,4/27/19,,,,,